id,name,note,station_id,sensor_type,latitude,longitude,station_name
157,S158,QSE via Pitz'e Serra > via Europa QUARTU Pitz Serra > Europa,93,4,39.240301,9.208664,QSE PITSERRA DIR EUROPA
158,S159,SEL via Roma SELARGIUS Roma > Trieste,96,4,39.261662,9.174213,SEL VIA ROMA
159,S160,SEL via Roma SELARGIUS Roma > del Lavoro,96,4,39.261662,9.174213,SEL VIA ROMA
160,S161,ASS via Carmine ASSEMINI Carmine > Sardegna,94,4,39.278928,9.022822,ASS CARMINE
161,S162,ASS via Carmine ASSEMINI Carmine > Sulcitana,94,4,39.278928,9.022822,ASS CARMINE
162,S163,ASS via Sardegna ASSEMINI Sardegna > Carmine,95,4,39.290312,9.012701,ASS VIA SARDEGNA
163,S164,ASS via Sardegna ASSEMINI Sardegna > SS130,95,4,39.290312,9.012701,ASS VIA SARDEGNA
164,S165,via Cadello > via SM Chiara Cadello > SM Chiara Dx,97,4,39.238911,9.117881,CADELLO_OUT
165,S166,via Cadello > via SM Chiara Cadello > SM Chiara Sx,97,4,39.238911,9.117881,CADELLO_OUT
166,S167,via Cadello > via Is Mirrionis Cadello > Is Mirrionis Sx,98,4,39.238859,9.117545,CADELLO_IN
167,S168,via Cadello > via Is Mirrionis Cadello > Is Mirrionis Dx,98,4,39.238859,9.117545,CADELLO_IN
